id,menu_cat_id,combo_id,combo_qty,combo_item_id,combo_item_name,combo_item_code,combo_item_qty,update_qty,unit_price,top_up,old_unit_price,is_default,is_delete,brand_id
534,15,999008,0,999008448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
535,1,999082,6,999082618,"Y18 Dry T. Beef Springy Noodle",Y18,6,0,1.76,0.00,0.00,0,0,1
535,15,999009,0,999009448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
536,1,999082,6,999082619,"Y19 Dry T. Chicken Thai R. Noodle",Y19,6,0,1.76,0.00,0.00,0,0,1
536,15,999010,0,999010448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
537,1,999082,6,999082620,"Y20 Dry T. Chicken Springy Noodle",Y20,6,0,1.76,0.00,0.00,0,0,1
537,15,999017,0,999017448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
538,10,999082,2,999082369,"A01 Fried Wanton Skin ",A01,2,0,1.76,0.00,0.00,0,0,1
538,15,999011,0,999011448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
539,10,999082,2,999082374,"A02 Fried Chicken Skin ",A02,2,0,1.76,0.00,0.00,0,0,1
539,15,999012,0,999012448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
540,3,999082,1,999082044,"F02 Grill Beef Meat Ball",F02,1,0,5.62,0.00,0.00,0,0,1
540,15,999014,0,999014448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
541,3,999082,1,999082045,"F03 Grill Chicken Meat Ball",F03,1,0,5.62,0.00,0.00,0,0,1
541,15,999026,0,999026448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
542,3,999082,1,999082048,"F08 Thai Popeye's Tempura",F08,1,0,5.62,0.00,0.00,0,0,1
542,15,999027,0,999027448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
543,4,999082,1,999082411,"B18 Mango Smoothie",B18,1,0,4.80,0.00,0.00,0,0,1
543,15,999013,0,999013448,"ADD19 Moustache Cream Topping ",ADD19,0,0,2.00,2.00,0.00,0,0,2
544,4,999082,1,999082133,"B21 Blue Butterfly Pea",B21,1,0,4.80,0.00,0.00,0,0,1
545,4,999082,1,999082535,"B29 Roselle Tea",B29,1,0,4.80,0.00,0.00,0,0,1
546,4,999082,1,999082033,"B01 Thai Iced Tea",B01,1,0,4.80,2.50,0.00,0,0,1
547,4,999082,1,999082034,"B02 Thai Iced Coffee",B02,1,0,4.80,2.50,0.00,0,0,1
548,4,999082,1,999082035,"B03 Thai Iced Green Tea",B03,1,0,4.80,2.50,0.00,0,0,1
549,4,999082,1,999082036,"B04 Thai Iced Lemon Tea",B04,1,0,4.80,2.50,0.00,0,0,1
550,1,999083,12,999083054,"N01 P. Beef Thai Rice Noodle",N01,12,0,1.80,0.00,0.00,0,0,1
551,1,999083,12,999083056,"N03 P. Chick Thai Rice Noodle",N03,12,0,1.80,0.00,0.00,0,0,1
552,1,999083,12,999083072,"N09 P. Beef Springy Noodle",N09,12,0,1.80,0.00,0.00,0,0,1
553,1,999083,12,999083074,"N11 P. Chick Springy  Noodle",N11,12,0,1.80,0.00,0.00,0,0,1
554,1,999083,12,999083581,"N37 Kuey Chap Chicken Rice Noodle",N37,12,0,1.80,0.00,0.00,0,0,1
555,1,999083,12,999083582,"N38 Kuey Chap Chicken Springy Noodle",N38,12,0,1.80,0.00,0.00,0,0,1
556,1,999083,12,999083587,"N43 Kuey Chap Beef Rice Noodle",N43,12,0,1.80,0.00,0.00,0,0,1
557,1,999083,12,999083588,"N44 Kuey Chap Beef Springy Noodle",N44,12,0,1.80,0.00,0.00,0,0,1
558,1,999083,12,999083094,"N14 D. Beef Thai Rice Noodle",N14,12,0,1.80,0.00,0.00,0,0,1
559,1,999083,12,999083096,"N16 D. Chick Thai Rice Noodle",N16,12,0,1.80,0.00,0.00,0,0,1
560,1,999083,12,999083490,"N22 D. Beef Thai Springgy Noodle",N22,12,0,1.80,0.00,0.00,0,0,1
561,1,999083,12,999083500,"N24 D. Chick Thai Springgy Noodle",N24,12,0,1.80,0.00,0.00,0,0,1
562,1,999083,12,999083615,"N47 Khao Soi Beef Rice Noodle",N47,12,0,1.80,0.00,0.00,0,0,1
563,1,999083,12,999083583,"N39 Khao Soi Chicken Rice Noodle",N39,12,0,1.80,0.00,0.00,0,0,1
564,1,999083,12,999083616,"N48 Khao Soi Beef Springy Noodle",N48,12,0,1.80,0.00,0.00,0,0,1
565,1,999083,12,999083584,"N40 Khao Soi Chicken Springy Noodle",N40,12,0,1.80,0.00,0.00,0,0,1
